location,Field_Date,Satellite_Date,Days Gaps,Satellite,Sensor,Scene_Cloud_Pct,Buffer_m,Water_Mask,valid_pixels,Target Variable(Chlorophyll-a),mean_B2,mean_B3,mean_B4,mean_B5,mean_B6,mean_B7,mean_B8,mean_B8A,mean_B11,mean_B12,med_B2,med_B3,med_B4,med_B5,med_B6,med_B7,med_B8,med_B8A,med_B11,med_B12,sd_B2,sd_B3,sd_B4,sd_B8,mean_NDCI,med_NDCI,mean_MNDWI,med_MNDWI,,B2/B3,B2/B4,B2/B5,B2/B6,B2/B7,B2/B8,B2/B8A,B2/B11,B2/B12,B3/B2,B3/B4,B3/B5,B3/B6,B3/B7,B3/B8,B3/B8A,B3/B11,B3/B12,B4/B2,B4/B3,B4/B5,B4/B6,B4/B7,B4/B8,B4/B8A,B4/B11,B4/B12,B5/B2,B5/B3,B5/B4,B5/B6,B5/B7,B5/B8,B5/B8A,B5/B11,B5/B12,B6/B2,B6/B3,B6/B4,B6/B5,B6/B7,B6/B8,B6/B8A,B6/B11,B6/B12,B7/B2,B7/B3,B7/B4,B7/B5,B7/B6,B7/B8,B7/B8A,B7/B11,B7/B12,B8/B2,B8/B3,B8/B4,B8/B5,B8/B6,B8/B7,B8/B8A,B8/B11,B8/B12,B8A/B2,B8A/B3,B8A/B4,B8A/B5,B8A/B6,B8A/B7,B8A/B8,B8A/B11,B8A/B12,B11/B2,B11/B3,B11/B4,B11/B5,B11/B6,B11/B7,B11/B8,B11/B8A,B11/B12,B12/B2,B12/B3,B12/B4,B12/B5,B12/B6,B12/B7,B12/B8,B12/B8A,B12/B11,(B2-B3)/(B2+B3),(B2-B4)/(B2+B4),(B2-B5)/(B2+B5),(B2-B6)/(B2+B6),(B2-B7)/(B2+B7),(B2-B8)/(B2+B8),(B2-B8A)/(B2+B8A),(B2-B11)/(B2+B11),(B2-B12)/(B2+B12),(B3-B4)/(B3+B4),(B3-B5)/(B3+B5),(B3-B6)/(B3+B6),(B3-B7)/(B3+B7),(B3-B8)/(B3+B8),(B3-B8A)/(B3+B8A),(B3-B11)/(B3+B11),(B3-B12)/(B3+B12),(B4-B5)/(B4+B5),(B4-B6)/(B4+B6),(B4-B7)/(B4+B7),(B4-B8)/(B4+B8),(B4-B8A)/(B4+B8A),(B4-B11)/(B4+B11),(B4-B12)/(B4+B12),(B5-B6)/(B5+B6),(B5-B7)/(B5+B7),(B5-B8)/(B5+B8),(B5-B8A)/(B5+B8A),(B5-B11)/(B5+B11),(B5-B12)/(B5+B12),(B6-B7)/(B6+B7),(B6-B8)/(B6+B8),(B6-B8A)/(B6+B8A),(B6-B11)/(B6+B11),(B6-B12)/(B6+B12),(B7-B8)/(B7+B8),(B7-B8A)/(B7+B8A),(B7-B11)/(B7+B11),(B7-B12)/(B7+B12),(B8-B8A)/(B8+B8A),(B8-B11)/(B8+B11),(B8-B12)/(B8+B12),(B8A-B11)/(B8A+B11),(B8A-B12)/(B8A+B12),(B11-B12)/(B11+B12),,,ALL COMBINATIONS vs Chl-a  —  Mean Bands S2  (2024 only),,,
3,2024-06-28 0:00:00,2024-06-24 0:00:00,4,Sentinel-2A,Sentinel-2,21.972352,30,SCL_class6_OR_MNDWI_gt_0,29,13.45,0.040499382,0.079504084,0.042249754,0.050978709,0.023210681,0.024534526,0.020597123,0.019538484,0.016898035,0.015174779,0.04,0.0802,0.0414,0.0495,0.022,0.025,0.0217,0.0192,0.0169,0.0151,0.002847453,0.003289511,0.00293832,0.002575846,0.094071663,0.093360996,0.649328967,0.648283064,,0.5094,0.9586,0.7944,1.7449,1.6507,1.9663,2.0728,2.3967,2.6689,1.9631,1.8818,1.5596,3.4253,3.2405,3.8600,4.0691,4.7049,5.2392,1.0432,0.5314,0.8288,1.8203,1.7221,2.0512,2.1624,2.5003,2.7842,1.2588,0.6412,1.2066,2.1963,2.0778,2.4750,2.6091,3.0168,3.3594,0.5731,0.2919,0.5494,0.4553,0.9460,1.1269,1.1879,1.3736,1.5296,0.6058,0.3086,0.5807,0.4813,1.0570,1.1912,1.2557,1.4519,1.6168,0.5086,0.2591,0.4875,0.4040,0.8874,0.8395,1.0542,1.2189,1.3573,0.4824,0.2458,0.4625,0.3833,0.8418,0.7964,0.9486,1.1563,1.2876,0.4172,0.2125,0.4000,0.3315,0.7280,0.6887,0.8204,0.8649,1.1136,0.3747,0.1909,0.3592,0.2977,0.6538,0.6185,0.7367,0.7767,0.8980,-0.3250,-0.0212,-0.1146,0.2714,0.2455,0.3258,0.3491,0.4112,0.4549,0.3060,0.2186,0.5481,0.5284,0.5885,0.6055,0.6494,0.6794,-0.0936,0.2908,0.2653,0.3445,0.3676,0.4286,0.4715,0.3743,0.3502,0.4245,0.4459,0.5021,0.5412,-0.0277,0.0597,0.0859,0.1574,0.2093,0.0872,0.1134,0.1843,0.2357,0.0264,0.0987,0.1516,0.0725,0.1257,0.0537,,,B3/B5,-0.6480,0.4199,? Moderate
4,2024-06-28 0:00:00,2024-06-24 0:00:00,4,Sentinel-2A,Sentinel-2,21.972352,30,SCL_class6_OR_MNDWI_gt_0,26,14.74,0.032848791,0.069942213,0.034462693,0.043012061,0.017132499,0.016173461,0.014859263,0.011949536,0.008669553,0.007704048,0.0329,0.0702,0.0345,0.0433,0.0177,0.0162,0.015,0.012,0.0085,0.0077,0.001413146,0.001094371,0.001232979,0.001132129,0.11049171,0.111111111,0.779821053,0.785000026,,0.4697,0.9532,0.7637,1.9173,2.0310,2.2107,2.7490,3.7890,4.2638,2.1292,2.0295,1.6261,4.0824,4.3245,4.7070,5.8531,8.0676,9.0786,1.0491,0.4927,0.8012,2.0115,2.1308,2.3193,2.8840,3.9751,4.4733,1.3094,0.6150,1.2481,2.5106,2.6594,2.8946,3.5995,4.9613,5.5830,0.5216,0.2450,0.4971,0.3983,1.0593,1.1530,1.4337,1.9762,2.2238,0.4924,0.2312,0.4693,0.3760,0.9440,1.0884,1.3535,1.8655,2.0993,0.4524,0.2125,0.4312,0.3455,0.8673,0.9187,1.2435,1.7140,1.9288,0.3638,0.1708,0.3467,0.2778,0.6975,0.7388,0.8042,1.3783,1.5511,0.2639,0.1240,0.2516,0.2016,0.5060,0.5360,0.5834,0.7255,1.1253,0.2345,0.1101,0.2235,0.1791,0.4497,0.4763,0.5185,0.6447,0.8886,-0.3609,-0.0240,-0.1340,0.3144,0.3402,0.3771,0.4665,0.5824,0.6200,0.3398,0.2384,0.6065,0.6244,0.6496,0.7082,0.7794,0.8016,-0.1104,0.3359,0.3612,0.3975,0.4851,0.5980,0.6346,0.4303,0.4535,0.4865,0.5652,0.6645,0.6962,0.0288,0.0711,0.1782,0.3280,0.3796,0.0423,0.1502,0.3021,0.3547,0.1085,0.2631,0.3171,0.1591,0.2160,0.0590,,,B3/B6,-0.0557,0.0031,? Very weak
5,2024-06-28 0:00:00,2024-06-24 0:00:00,4,Sentinel-2A,Sentinel-2,21.972352,30,SCL_class6_OR_MNDWI_gt_0,30,16.69,0.032974263,0.063114889,0.03434753,0.04677982,0.015716096,0.013630129,0.013403129,0.009120123,0.009555852,0.008226747,0.0327,0.0631,0.0343,0.0468,0.0157,0.0136,0.0134,0.0093,0.0093,0.0083,0.001175495,0.001102648,0.000876128,0.000592696,0.153226989,0.154589372,0.736996652,0.738028169,,0.5224,0.9600,0.7049,2.0981,2.4192,2.4602,3.6156,3.4507,4.0082,1.9141,1.8375,1.3492,4.0159,4.6305,4.7090,6.9204,6.6048,7.6719,1.0416,0.5442,0.7342,2.1855,2.5200,2.5627,3.7661,3.5944,4.1751,1.4187,0.7412,1.3620,2.9766,3.4321,3.4902,5.1293,4.8954,5.6863,0.4766,0.2490,0.4576,0.3360,1.1530,1.1726,1.7232,1.6447,1.9104,0.4134,0.2160,0.3968,0.2914,0.8673,1.0169,1.4945,1.4264,1.6568,0.4065,0.2124,0.3902,0.2865,0.8528,0.9833,1.4696,1.4026,1.6292,0.2766,0.1445,0.2655,0.1950,0.5803,0.6691,0.6804,0.9544,1.1086,0.2898,0.1514,0.2782,0.2043,0.6080,0.7011,0.7130,1.0478,1.1616,0.2495,0.1303,0.2395,0.1759,0.5235,0.6036,0.6138,0.9020,0.8609,-0.3137,-0.0204,-0.1731,0.3544,0.4151,0.4220,0.5667,0.5506,0.6007,0.2952,0.1486,0.6013,0.6448,0.6497,0.7475,0.7370,0.7694,-0.1532,0.3722,0.4318,0.4386,0.5804,0.5647,0.6135,0.4971,0.5487,0.5546,0.6737,0.6608,0.7009,0.0711,0.0794,0.2656,0.2438,0.3128,0.0084,0.1982,0.1757,0.2472,0.1902,0.1676,0.2393,-0.0233,0.0515,0.0747,,,B3/B7,-0.2315,0.0536,? Very weak
6,2024-06-28 0:00:00,2024-06-24 0:00:00,4,Sentinel-2A,Sentinel-2,21.972352,30,SCL_class6_OR_MNDWI_gt_0,27,13.55,0.028777386,0.066063167,0.029920396,0.039305825,0.015345382,0.015177709,0.013452471,0.010778987,0.008491044,0.005181696,0.0288,0.0661,0.0296,0.0394,0.0149,0.0151,0.0128,0.0108,0.0081,0.0052,0.001381397,0.001086783,0.000927421,0.001451275,0.135405146,0.133928571,0.772987641,0.778385758,,0.4356,0.9618,0.7321,1.8753,1.8960,2.1392,2.6698,3.3891,5.5537,2.2957,2.2080,1.6807,4.3051,4.3526,4.9109,6.1289,7.7803,12.7493,1.0397,0.4529,0.7612,1.9498,1.9713,2.2242,2.7758,3.5238,5.7742,1.3659,0.5950,1.3137,2.5614,2.5897,2.9218,3.6465,4.6291,7.5855,0.5332,0.2323,0.5129,0.3904,1.0110,1.1407,1.4236,1.8072,2.9615,0.5274,0.2297,0.5073,0.3861,0.9891,1.1282,1.4081,1.7875,2.9291,0.4675,0.2036,0.4496,0.3423,0.8766,0.8863,1.2480,1.5843,2.5962,0.3746,0.1632,0.3603,0.2742,0.7024,0.7102,0.8013,1.2695,2.0802,0.2951,0.1285,0.2838,0.2160,0.5533,0.5594,0.6312,0.7877,1.6387,0.1801,0.0784,0.1732,0.1318,0.3377,0.3414,0.3852,0.4807,0.6103,-0.3931,-0.0195,-0.1546,0.3044,0.3094,0.3629,0.4550,0.5443,0.6948,0.3766,0.2539,0.6230,0.6264,0.6616,0.7195,0.7722,0.8545,-0.1356,0.3220,0.3269,0.3797,0.4703,0.5579,0.7048,0.4384,0.4429,0.4900,0.5696,0.6447,0.7670,0.0055,0.0657,0.1748,0.2876,0.4951,0.0603,0.1695,0.2825,0.4910,0.1103,0.2261,0.4439,0.1187,0.3507,0.2420,,,B3/B8,-0.0103,0.0001,? Very weak
7,2024-06-28 0:00:00,2024-06-24 0:00:00,4,Sentinel-2A,Sentinel-2,21.972352,30,SCL_class6_OR_MNDWI_gt_0,27,12.34,0.03318866,0.063377614,0.033918933,0.04593993,0.016100168,0.01481186,0.011588575,0.011280814,0.011205951,0.009622751,0.0332,0.063,0.0337,0.0459,0.0161,0.0147,0.0113,0.0118,0.0112,0.0098,0.001689847,0.001379131,0.001345449,0.00103828,0.150673668,0.150310559,0.69980701,0.698113203,,0.5237,0.9785,0.7224,2.0614,2.2407,2.8639,2.9420,2.9617,3.4490,1.9096,1.8685,1.3796,3.9365,4.2788,5.4690,5.6182,5.6557,6.5862,1.0220,0.5352,0.7383,2.1067,2.2900,2.9269,3.0068,3.0269,3.5249,1.3842,0.7249,1.3544,2.8534,3.1016,3.9642,4.0724,4.0996,4.7741,0.4851,0.2540,0.4747,0.3505,1.0870,1.3893,1.4272,1.4368,1.6731,0.4463,0.2337,0.4367,0.3224,0.9200,1.2781,1.3130,1.3218,1.5393,0.3492,0.1828,0.3417,0.2523,0.7198,0.7824,1.0273,1.0341,1.2043,0.3399,0.1780,0.3326,0.2456,0.7007,0.7616,0.9734,1.0067,1.1723,0.3376,0.1768,0.3304,0.2439,0.6960,0.7566,0.9670,0.9934,1.1645,0.2899,0.1518,0.2837,0.2095,0.5977,0.6497,0.8304,0.8530,0.8587,-0.3126,-0.0109,-0.1611,0.3467,0.3828,0.4824,0.4926,0.4952,0.5505,0.3028,0.1595,0.5949,0.6211,0.6908,0.6978,0.6995,0.7364,-0.1505,0.3562,0.3921,0.4907,0.5008,0.5033,0.5580,0.4810,0.5124,0.5971,0.6057,0.6078,0.6536,0.0417,0.1629,0.1760,0.1792,0.2518,0.1221,0.1353,0.1386,0.2124,0.0135,0.0168,0.0927,0.0033,0.0793,0.0760,,,B3/B8A,0.0692,0.0048,? Very weak
8,2024-06-28 0:00:00,2024-06-24 0:00:00,4,Sentinel-2A,Sentinel-2,21.972352,30,SCL_class6_OR_MNDWI_gt_0,28,19.36,0.009098975,0.012184906,0.006508144,0.007705743,0.000738781,0.001850505,0.000745483,0.000345156,0.005318338,0.00378287,0.0093,0.0123,0.0064,0.0077,0.0008,0.0019,0.0007,0.0001,0.0053,0.0038,0.000921034,0.000961716,0.000681759,0.000374877,0.084943168,0.092198582,0.391349305,0.411764711,,0.7467,1.3981,1.1808,12.3162,4.9170,12.2055,26.3619,1.7109,2.4053,1.3392,1.8723,1.5813,16.4933,6.5846,16.3450,35.3026,2.2911,3.2211,0.7153,0.5341,0.8446,8.8093,3.5170,8.7301,18.8557,1.2237,1.7204,0.8469,0.6324,1.1840,10.4303,4.1641,10.3366,22.3254,1.4489,2.0370,0.0812,0.0606,0.1135,0.0959,0.3992,0.9910,2.1404,0.1389,0.1953,0.2034,0.1519,0.2843,0.2401,2.5048,2.4823,5.3614,0.3479,0.4892,0.0819,0.0612,0.1145,0.0967,1.0091,0.4029,2.1598,0.1402,0.1971,0.0379,0.0283,0.0530,0.0448,0.4672,0.1865,0.4630,0.0649,0.0912,0.5845,0.4365,0.8172,0.6902,7.1988,2.8740,7.1341,15.4085,1.4059,0.4157,0.3105,0.5813,0.4909,5.1204,2.0442,5.0744,10.9599,0.7113,-0.1450,0.1660,0.0829,0.8498,0.6620,0.8485,0.9269,0.2622,0.4127,0.3037,0.2252,0.8857,0.7363,0.8847,0.9449,0.3923,0.5262,-0.0843,0.7961,0.5572,0.7945,0.8993,0.1006,0.2648,0.8250,0.6127,0.8236,0.9143,0.1833,0.3415,-0.4294,-0.0045,0.3631,-0.7561,-0.6732,0.4257,0.6856,-0.4837,-0.3430,0.3671,-0.7541,-0.6707,-0.8781,-0.8328,0.1687,,,B3/B11,-0.1368,0.0187,? Very weak
9,2024-06-28 0:00:00,2024-06-24 0:00:00,4,Sentinel-2A,Sentinel-2,21.972352,30,SCL_class6_OR_MNDWI_gt_0,29,16.16,0.03208784,0.054828728,0.034083544,0.046438149,0.018826271,0.018589961,0.017023884,0.013967607,0.013408214,0.011476257,0.0318,0.0548,0.0339,0.0465,0.0188,0.0183,0.0171,0.0139,0.0129,0.0115,0.001812521,0.001584347,0.001600624,0.000971631,0.153665781,0.156054931,0.607864137,0.606707335,,0.5852,0.9414,0.6910,1.7044,1.7261,1.8849,2.2973,2.3931,2.7960,1.7087,1.6087,1.1807,2.9124,2.9494,3.2207,3.9254,4.0892,4.7776,1.0622,0.6216,0.7340,1.8104,1.8334,2.0021,2.4402,2.5420,2.9699,1.4472,0.8470,1.3625,2.4667,2.4980,2.7278,3.3247,3.4634,4.0465,0.5867,0.3434,0.5524,0.4054,1.0127,1.1059,1.3479,1.4041,1.6405,0.5793,0.3391,0.5454,0.4003,0.9874,1.0920,1.3309,1.3865,1.6199,0.5305,0.3105,0.4995,0.3666,0.9043,0.9158,1.2188,1.2697,1.4834,0.4353,0.2547,0.4098,0.3008,0.7419,0.7514,0.8205,1.0417,1.2171,0.4179,0.2445,0.3934,0.2887,0.7122,0.7213,0.7876,0.9600,1.1683,0.3577,0.2093,0.3367,0.2471,0.6096,0.6173,0.6741,0.8216,0.8559,-0.2616,-0.0302,-0.1827,0.2605,0.2663,0.3067,0.3934,0.4106,0.4731,0.2333,0.0829,0.4888,0.4936,0.5261,0.5939,0.6070,0.6538,-0.1534,0.2884,0.2941,0.3338,0.4186,0.4353,0.4962,0.4231,0.4282,0.4635,0.5375,0.5519,0.6037,0.0063,0.0503,0.1482,0.1681,0.2426,0.0440,0.1420,0.1619,0.2366,0.0986,0.1188,0.1947,0.0204,0.0979,0.0776,,,B3/B12,-0.1062,0.0113,? Very weak
10,2024-06-28 0:00:00,2024-06-24 0:00:00,4,Sentinel-2A,Sentinel-2,21.972352,30,SCL_class6_OR_MNDWI_gt_0,29,18.89,0.062602249,0.084836098,0.067159179,0.08108115,0.050528395,0.050144518,0.046658547,0.045942859,0.042353669,0.036823067,0.0639,0.0869,0.0688,0.0786,0.0474,0.0475,0.0476,0.0472,0.0413,0.035,0.012308769,0.012598355,0.012141427,0.011652203,0.095937962,0.093774626,0.338815206,0.332770258,,0.7379,0.9321,0.7721,1.2390,1.2484,1.3417,1.3626,1.4781,1.7001,1.3552,1.2632,1.0463,1.6790,1.6918,1.8182,1.8466,2.0030,2.3039,1.0728,0.7916,0.8283,1.3291,1.3393,1.4394,1.4618,1.5857,1.8238,1.2952,0.9557,1.2073,1.6047,1.6169,1.7378,1.7648,1.9144,2.2019,0.8071,0.5956,0.7524,0.6232,1.0077,1.0829,1.0998,1.1930,1.3722,0.8010,0.5911,0.7467,0.6184,0.9924,1.0747,1.0915,1.1839,1.3618,0.7453,0.5500,0.6947,0.5755,0.9234,0.9305,1.0156,1.1016,1.2671,0.7339,0.5415,0.6841,0.5666,0.9092,0.9162,0.9847,1.0847,1.2477,0.6766,0.4992,0.6306,0.5224,0.8382,0.8446,0.9077,0.9219,1.1502,0.5882,0.4340,0.5483,0.4542,0.7288,0.7343,0.7892,0.8015,0.8694,-0.1508,-0.0351,-0.1286,0.1067,0.1105,0.1459,0.1535,0.1929,0.2593,0.1163,0.0226,0.2534,0.2570,0.2903,0.2974,0.3340,0.3947,-0.0939,0.1413,0.1450,0.1801,0.1876,0.2265,0.2917,0.2321,0.2358,0.2695,0.2766,0.3137,0.3754,0.0038,0.0398,0.0475,0.0880,0.1569,0.0360,0.0437,0.0842,0.1532,0.0077,0.0484,0.1178,0.0406,0.1102,0.0699,,,B4/B2,0.3295,0.1086,? Weak
11,2024-06-28 0:00:00,2024-06-24 0:00:00,4,Sentinel-2A,Sentinel-2,21.972352,30,SCL_class6_OR_MNDWI_gt_0,31,21.9,0.057588906,0.076580649,0.059503693,0.076557632,0.043655975,0.044193442,0.043784918,0.036600562,0.034042508,0.029268881,0.058,0.0772,0.06,0.0765,0.0442,0.0447,0.0449,0.0365,0.0345,0.0293,0.003679742,0.003091057,0.002895265,0.003062298,0.125485671,0.122884474,0.385679378,0.383378029,,0.7520,0.9678,0.7522,1.3192,1.3031,1.3153,1.5734,1.6917,1.9676,1.3298,1.2870,1.0003,1.7542,1.7329,1.7490,2.0923,2.2496,2.6165,1.0332,0.7770,0.7772,1.3630,1.3464,1.3590,1.6258,1.7479,2.0330,1.3294,0.9997,1.2866,1.7537,1.7323,1.7485,2.0917,2.2489,2.6157,0.7581,0.5701,0.7337,0.5702,0.9878,0.9971,1.1928,1.2824,1.4915,0.7674,0.5771,0.7427,0.5773,1.0123,1.0093,1.2075,1.2982,1.5099,0.7603,0.5717,0.7358,0.5719,1.0030,0.9908,1.1963,1.2862,1.4960,0.6355,0.4779,0.6151,0.4781,0.8384,0.8282,0.8359,1.0751,1.2505,0.5911,0.4445,0.5721,0.4447,0.7798,0.7703,0.7775,0.9301,1.1631,0.5082,0.3822,0.4919,0.3823,0.6704,0.6623,0.6685,0.7997,0.8598,-0.1416,-0.0164,-0.1414,0.1376,0.1316,0.1362,0.2228,0.2570,0.3261,0.1255,0.0002,0.2738,0.2682,0.2725,0.3532,0.3845,0.4470,-0.1253,0.1536,0.1476,0.1522,0.2383,0.2722,0.3406,0.2737,0.2680,0.2723,0.3531,0.3844,0.4469,-0.0061,-0.0015,0.0879,0.1237,0.1973,0.0046,0.0940,0.1297,0.2032,0.0894,0.1252,0.1987,0.0362,0.1113,0.0754,,,B4/B3,0.2026,0.0411,? Very weak
1,2024-07-18 0:00:00,2024-07-19 0:00:00,-1,Sentinel-2B,Sentinel-2,3.958743,30,SCL_class6_OR_MNDWI_gt_0,26,11.59,0.02733215,0.04017286,0.021843348,0.025906582,0.015240893,0.017022271,0.014925344,0.013284072,0.0055603,0.003816601,0.0273,0.0403,0.0219,0.0257,0.015,0.0172,0.015,0.0132,0.0052,0.0038,0.000803248,0.000644698,0.000666762,0.000679377,0.085206488,0.084388186,0.757668918,0.769230783,,0.6804,1.2513,1.0550,1.7933,1.6057,1.8313,2.0575,4.9156,7.1614,1.4698,1.8391,1.5507,2.6359,2.3600,2.6916,3.0241,7.2249,10.5258,0.7992,0.5437,0.8432,1.4332,1.2832,1.4635,1.6443,3.9284,5.7232,0.9478,0.6449,1.1860,1.6998,1.5219,1.7357,1.9502,4.6592,6.7879,0.5576,0.3794,0.6977,0.5883,0.8954,1.0211,1.1473,2.7410,3.9933,0.6228,0.4237,0.7793,0.6571,1.1169,1.1405,1.2814,3.0614,4.4601,0.5461,0.3715,0.6833,0.5761,0.9793,0.8768,1.1236,2.6843,3.9106,0.4860,0.3307,0.6082,0.5128,0.8716,0.7804,0.8900,2.3891,3.4806,0.2034,0.1384,0.2546,0.2146,0.3648,0.3266,0.3725,0.4186,1.4569,0.1396,0.0950,0.1747,0.1473,0.2504,0.2242,0.2557,0.2873,0.6864,-0.1902,0.1116,0.0268,0.2840,0.2324,0.2936,0.3459,0.6619,0.7549,0.2956,0.2159,0.4499,0.4048,0.4582,0.5030,0.7568,0.8265,-0.0851,0.1780,0.1240,0.1881,0.2437,0.5942,0.7025,0.2592,0.2070,0.2689,0.3221,0.6466,0.7432,-0.0552,0.0105,0.0686,0.4654,0.5995,0.0656,0.1233,0.5076,0.6337,0.0582,0.4572,0.5927,0.4099,0.5536,0.1860,,,B4/B5,-0.7202,0.5186,? Strong
2,2024-07-18 0:00:00,2024-07-19 0:00:00,-1,Sentinel-2B,Sentinel-2,3.958743,30,SCL_class6_OR_MNDWI_gt_0,29,9.78,0.026523368,0.038721754,0.021040225,0.025032828,0.013577432,0.014835326,0.011771495,0.009470877,0.00351454,0.001763144,0.0265,0.0388,0.021,0.0252,0.0137,0.0146,0.0117,0.0096,0.0035,0.0019,0.000662536,0.000888211,0.000579823,0.000437157,0.086696257,0.084233261,0.833784487,0.834123194,,0.6850,1.2606,1.0595,1.9535,1.7879,2.2532,2.8005,7.5468,15.0432,1.4599,1.8404,1.5468,2.8519,2.6101,3.2895,4.0885,11.0176,21.9618,0.7933,0.5434,0.8405,1.5496,1.4183,1.7874,2.2216,5.9866,11.9334,0.9438,0.6465,1.1898,1.8437,1.6874,2.1266,2.6431,7.1226,14.1978,0.5119,0.3506,0.6453,0.5424,0.9152,1.1534,1.4336,3.8632,7.7007,0.5593,0.3831,0.7051,0.5926,1.0926,1.2603,1.5664,4.2211,8.4141,0.4438,0.3040,0.5595,0.4702,0.8670,0.7935,1.2429,3.3494,6.6764,0.3571,0.2446,0.4501,0.3783,0.6975,0.6384,0.8046,2.6948,5.3716,0.1325,0.0908,0.1670,0.1404,0.2589,0.2369,0.2986,0.3711,1.9933,0.0665,0.0455,0.0838,0.0704,0.1299,0.1188,0.1498,0.1862,0.5017,-0.1870,0.1153,0.0289,0.3228,0.2826,0.3852,0.4738,0.7660,0.8753,0.2959,0.2147,0.4808,0.4460,0.5337,0.6070,0.8336,0.9129,-0.0867,0.2156,0.1730,0.2825,0.3792,0.7137,0.8454,0.2967,0.2558,0.3603,0.4510,0.7538,0.8684,-0.0443,0.0712,0.1782,0.5887,0.7701,0.1152,0.2207,0.6169,0.7876,0.1083,0.5402,0.7395,0.4587,0.6861,0.3318,,,B4/B6,-0.0170,0.0003,? Very weak
3,2024-07-18 0:00:00,2024-07-19 0:00:00,-1,Sentinel-2B,Sentinel-2,3.958743,30,SCL_class6_OR_MNDWI_gt_0,29,10.12,0.027352716,0.040539818,0.021720758,0.026346611,0.015376351,0.016764744,0.013896281,0.011913937,0.0036952,0.002450681,0.0275,0.0404,0.0218,0.0263,0.0155,0.0168,0.0138,0.012,0.0037,0.0025,0.000859942,0.000510135,0.000489266,0.000318102,0.096349499,0.093555094,0.832906295,0.832199574,,0.6747,1.2593,1.0382,1.7789,1.6316,1.9683,2.2959,7.4022,11.1613,1.4821,1.8664,1.5387,2.6365,2.4182,2.9173,3.4027,10.9709,16.5423,0.7941,0.5358,0.8244,1.4126,1.2956,1.5631,1.8231,5.8781,8.8632,0.9632,0.6499,1.2130,1.7135,1.5715,1.8959,2.2114,7.1300,10.7507,0.5622,0.3793,0.7079,0.5836,0.9172,1.1065,1.2906,4.1612,6.2743,0.6129,0.4135,0.7718,0.6363,1.0903,1.2064,1.4072,4.5369,6.8409,0.5080,0.3428,0.6398,0.5274,0.9037,0.8289,1.1664,3.7606,5.6704,0.4356,0.2939,0.5485,0.4522,0.7748,0.7107,0.8573,3.2242,4.8615,0.1351,0.0911,0.1701,0.1403,0.2403,0.2204,0.2659,0.3102,1.5078,0.0896,0.0605,0.1128,0.0930,0.1594,0.1462,0.1764,0.2057,0.6632,-0.1942,0.1148,0.0187,0.2803,0.2400,0.3262,0.3932,0.7620,0.8355,0.3023,0.2122,0.4500,0.4149,0.4894,0.5457,0.8329,0.8860,-0.0962,0.1710,0.1288,0.2197,0.2916,0.7092,0.7972,0.2629,0.2223,0.3094,0.3772,0.7540,0.8298,-0.0432,0.0506,0.1269,0.6125,0.7251,0.0936,0.1691,0.6388,0.7449,0.0768,0.5799,0.7002,0.5265,0.6588,0.2025,,,B4/B7,-0.1943,0.0378,? Very weak
4,2024-07-18 0:00:00,2024-07-19 0:00:00,-1,Sentinel-2B,Sentinel-2,3.958743,30,SCL_class6_OR_MNDWI_gt_0,26,12.76,0.026402277,0.039520579,0.02055589,0.025729927,0.014612173,0.015331951,0.013237785,0.010837841,0.003168681,0.002019975,0.0264,0.0396,0.0204,0.0257,0.0145,0.0153,0.0132,0.0108,0.0032,0.002,0.000884816,0.000701109,0.000623231,0.000481123,0.111978599,0.111587983,0.851590094,0.848699749,,0.6681,1.2844,1.0261,1.8069,1.7220,1.9945,2.4361,8.3323,13.0706,1.4969,1.9226,1.5360,2.7046,2.5777,2.9854,3.6465,12.4722,19.5649,0.7786,0.5201,0.7989,1.4068,1.3407,1.5528,1.8967,6.4872,10.1763,0.9745,0.6511,1.2517,1.7609,1.6782,1.9437,2.3741,8.1201,12.7377,0.5534,0.3697,0.7109,0.5679,0.9531,1.1038,1.3483,4.6114,7.2338,0.5807,0.3879,0.7459,0.5959,1.0493,1.1582,1.4147,4.8386,7.5902,0.5014,0.3350,0.6440,0.5145,0.9059,0.8634,1.2214,4.1777,6.5534,0.4105,0.2742,0.5272,0.4212,0.7417,0.7069,0.8187,3.4203,5.3653,0.1200,0.0802,0.1541,0.1232,0.2169,0.2067,0.2394,0.2924,1.5687,0.0765,0.0511,0.0983,0.0785,0.1382,0.1317,0.1526,0.1864,0.6375,-0.1990,0.1245,0.0129,0.2875,0.2653,0.3321,0.4179,0.7857,0.8579,0.3157,0.2113,0.4601,0.4410,0.4982,0.5696,0.8515,0.9027,-0.1118,0.1690,0.1456,0.2166,0.3096,0.7329,0.8211,0.2756,0.2532,0.3206,0.4072,0.7807,0.8544,-0.0240,0.0493,0.1483,0.6436,0.7571,0.0733,0.1717,0.6575,0.7672,0.0997,0.6137,0.7352,0.5475,0.6858,0.2214,,,B4/B8,0.0335,0.0011,? Very weak
