location,Field_Date,Satellite_Date,Days Gaps,Satellite,Sensor,Scene_Cloud_Pct,Buffer_m,Water_Mask,valid_pixels,Target Variable(Chlorophyll-a),mean_B2,mean_B3,mean_B4,mean_B5,mean_B6,mean_B7,mean_B8,mean_B8A,mean_B11,mean_B12,med_B2,med_B3,med_B4,med_B5,med_B6,med_B7,med_B8,med_B8A,med_B11,med_B12,sd_B2,sd_B3,sd_B4,sd_B8,mean_NDCI,med_NDCI,mean_MNDWI,med_MNDWI,,B2/B3,B2/B4,B2/B5,B2/B6,B2/B7,B2/B8,B2/B8A,B2/B11,B2/B12,B3/B2,B3/B4,B3/B5,B3/B6,B3/B7,B3/B8,B3/B8A,B3/B11,B3/B12,B4/B2,B4/B3,B4/B5,B4/B6,B4/B7,B4/B8,B4/B8A,B4/B11,B4/B12,B5/B2,B5/B3,B5/B4,B5/B6,B5/B7,B5/B8,B5/B8A,B5/B11,B5/B12,B6/B2,B6/B3,B6/B4,B6/B5,B6/B7,B6/B8,B6/B8A,B6/B11,B6/B12,B7/B2,B7/B3,B7/B4,B7/B5,B7/B6,B7/B8,B7/B8A,B7/B11,B7/B12,B8/B2,B8/B3,B8/B4,B8/B5,B8/B6,B8/B7,B8/B8A,B8/B11,B8/B12,B8A/B2,B8A/B3,B8A/B4,B8A/B5,B8A/B6,B8A/B7,B8A/B8,B8A/B11,B8A/B12,B11/B2,B11/B3,B11/B4,B11/B5,B11/B6,B11/B7,B11/B8,B11/B8A,B11/B12,B12/B2,B12/B3,B12/B4,B12/B5,B12/B6,B12/B7,B12/B8,B12/B8A,B12/B11,(B2-B3)/(B2+B3),(B2-B4)/(B2+B4),(B2-B5)/(B2+B5),(B2-B6)/(B2+B6),(B2-B7)/(B2+B7),(B2-B8)/(B2+B8),(B2-B8A)/(B2+B8A),(B2-B11)/(B2+B11),(B2-B12)/(B2+B12),(B3-B4)/(B3+B4),(B3-B5)/(B3+B5),(B3-B6)/(B3+B6),(B3-B7)/(B3+B7),(B3-B8)/(B3+B8),(B3-B8A)/(B3+B8A),(B3-B11)/(B3+B11),(B3-B12)/(B3+B12),(B4-B5)/(B4+B5),(B4-B6)/(B4+B6),(B4-B7)/(B4+B7),(B4-B8)/(B4+B8),(B4-B8A)/(B4+B8A),(B4-B11)/(B4+B11),(B4-B12)/(B4+B12),(B5-B6)/(B5+B6),(B5-B7)/(B5+B7),(B5-B8)/(B5+B8),(B5-B8A)/(B5+B8A),(B5-B11)/(B5+B11),(B5-B12)/(B5+B12),(B6-B7)/(B6+B7),(B6-B8)/(B6+B8),(B6-B8A)/(B6+B8A),(B6-B11)/(B6+B11),(B6-B12)/(B6+B12),(B7-B8)/(B7+B8),(B7-B8A)/(B7+B8A),(B7-B11)/(B7+B11),(B7-B12)/(B7+B12),(B8-B8A)/(B8+B8A),(B8-B11)/(B8+B11),(B8-B12)/(B8+B12),(B8A-B11)/(B8A+B11),(B8A-B12)/(B8A+B12),(B11-B12)/(B11+B12),,,ALL COMBINATIONS vs Chl-a  —  Median Bands S2  (2024 only),,,
3,2024-06-28 0:00:00,2024-06-24 0:00:00,4,Sentinel-2A,Sentinel-2,21.972352,30,SCL_class6_OR_MNDWI_gt_0,29,13.45,0.040499382,0.079504084,0.042249754,0.050978709,0.023210681,0.024534526,0.020597123,0.019538484,0.016898035,0.015174779,0.04,0.0802,0.0414,0.0495,0.022,0.025,0.0217,0.0192,0.0169,0.0151,0.002847453,0.003289511,0.00293832,0.002575846,0.094071663,0.093360996,0.649328967,0.648283064,,0.4988,0.9662,0.8081,1.8182,1.6000,1.8433,2.0833,2.3669,2.6490,2.0050,1.9372,1.6202,3.6455,3.2080,3.6959,4.1771,4.7456,5.3113,1.0350,0.5162,0.8364,1.8818,1.6560,1.9078,2.1563,2.4497,2.7417,1.2375,0.6172,1.1957,2.2500,1.9800,2.2811,2.5781,2.9290,3.2781,0.5500,0.2743,0.5314,0.4444,0.8800,1.0138,1.1458,1.3018,1.4570,0.6250,0.3117,0.6039,0.5051,1.1364,1.1521,1.3021,1.4793,1.6556,0.5425,0.2706,0.5242,0.4384,0.9864,0.8680,1.1302,1.2840,1.4371,0.4800,0.2394,0.4638,0.3879,0.8727,0.7680,0.8848,1.1361,1.2715,0.4225,0.2107,0.4082,0.3414,0.7682,0.6760,0.7788,0.8802,1.1192,0.3775,0.1883,0.3647,0.3051,0.6864,0.6040,0.6959,0.7865,0.8935,-0.3344,-0.0172,-0.1061,0.2903,0.2308,0.2966,0.3514,0.4060,0.4519,0.3191,0.2367,0.5695,0.5247,0.5741,0.6137,0.6519,0.6831,-0.0891,0.3060,0.2470,0.3122,0.3663,0.4202,0.4655,0.3846,0.3289,0.3904,0.4410,0.4910,0.5325,-0.0638,0.0069,0.0680,0.1311,0.1860,0.0707,0.1312,0.1933,0.2469,0.0611,0.1244,0.1793,0.0637,0.1195,0.0562,,,B3/B5,-0.6412,0.4112,? Moderate
4,2024-06-28 0:00:00,2024-06-24 0:00:00,4,Sentinel-2A,Sentinel-2,21.972352,30,SCL_class6_OR_MNDWI_gt_0,26,14.74,0.032848791,0.069942213,0.034462693,0.043012061,0.017132499,0.016173461,0.014859263,0.011949536,0.008669553,0.007704048,0.0329,0.0702,0.0345,0.0433,0.0177,0.0162,0.015,0.012,0.0085,0.0077,0.001413146,0.001094371,0.001232979,0.001132129,0.11049171,0.111111111,0.779821053,0.785000026,,0.4687,0.9536,0.7598,1.8588,2.0309,2.1933,2.7417,3.8706,4.2727,2.1337,2.0348,1.6212,3.9661,4.3333,4.6800,5.8500,8.2588,9.1169,1.0486,0.4915,0.7968,1.9492,2.1296,2.3000,2.8750,4.0588,4.4805,1.3161,0.6168,1.2551,2.4463,2.6728,2.8867,3.6083,5.0941,5.6234,0.5380,0.2521,0.5130,0.4088,1.0926,1.1800,1.4750,2.0824,2.2987,0.4924,0.2308,0.4696,0.3741,0.9153,1.0800,1.3500,1.9059,2.1039,0.4559,0.2137,0.4348,0.3464,0.8475,0.9259,1.2500,1.7647,1.9481,0.3647,0.1709,0.3478,0.2771,0.6780,0.7407,0.8000,1.4118,1.5584,0.2584,0.1211,0.2464,0.1963,0.4802,0.5247,0.5667,0.7083,1.1039,0.2340,0.1097,0.2232,0.1778,0.4350,0.4753,0.5133,0.6417,0.9059,-0.3618,-0.0237,-0.1365,0.3004,0.3401,0.3737,0.4655,0.5894,0.6207,0.3410,0.2370,0.5973,0.6250,0.6479,0.7080,0.7840,0.8023,-0.1131,0.3218,0.3609,0.3939,0.4839,0.6047,0.6351,0.4197,0.4555,0.4854,0.5660,0.6718,0.6980,0.0442,0.0826,0.1919,0.3511,0.3937,0.0385,0.1489,0.3117,0.3556,0.1111,0.2766,0.3216,0.1707,0.2183,0.0494,,,B3/B6,-0.0613,0.0038,? Very weak
5,2024-06-28 0:00:00,2024-06-24 0:00:00,4,Sentinel-2A,Sentinel-2,21.972352,30,SCL_class6_OR_MNDWI_gt_0,30,16.69,0.032974263,0.063114889,0.03434753,0.04677982,0.015716096,0.013630129,0.013403129,0.009120123,0.009555852,0.008226747,0.0327,0.0631,0.0343,0.0468,0.0157,0.0136,0.0134,0.0093,0.0093,0.0083,0.001175495,0.001102648,0.000876128,0.000592696,0.153226989,0.154589372,0.736996652,0.738028169,,0.5182,0.9534,0.6987,2.0828,2.4044,2.4403,3.5161,3.5161,3.9398,1.9297,1.8397,1.3483,4.0191,4.6397,4.7090,6.7849,6.7849,7.6024,1.0489,0.5436,0.7329,2.1847,2.5221,2.5597,3.6882,3.6882,4.1325,1.4312,0.7417,1.3644,2.9809,3.4412,3.4925,5.0323,5.0323,5.6386,0.4801,0.2488,0.4577,0.3355,1.1544,1.1716,1.6882,1.6882,1.8916,0.4159,0.2155,0.3965,0.2906,0.8662,1.0149,1.4624,1.4624,1.6386,0.4098,0.2124,0.3907,0.2863,0.8535,0.9853,1.4409,1.4409,1.6145,0.2844,0.1474,0.2711,0.1987,0.5924,0.6838,0.6940,1.0000,1.1205,0.2844,0.1474,0.2711,0.1987,0.5924,0.6838,0.6940,1.0000,1.1205,0.2538,0.1315,0.2420,0.1774,0.5287,0.6103,0.6194,0.8925,0.8925,-0.3173,-0.0239,-0.1774,0.3512,0.4125,0.4187,0.5571,0.5571,0.5951,0.2957,0.1483,0.6015,0.6454,0.6497,0.7431,0.7431,0.7675,-0.1541,0.3720,0.4322,0.4382,0.5734,0.5734,0.6103,0.4976,0.5497,0.5548,0.6684,0.6684,0.6987,0.0717,0.0790,0.2560,0.2560,0.3083,0.0074,0.1878,0.1878,0.2420,0.1806,0.1806,0.2350,0.0000,0.0568,0.0568,,,B3/B7,-0.2153,0.0463,? Very weak
6,2024-06-28 0:00:00,2024-06-24 0:00:00,4,Sentinel-2A,Sentinel-2,21.972352,30,SCL_class6_OR_MNDWI_gt_0,27,13.55,0.028777386,0.066063167,0.029920396,0.039305825,0.015345382,0.015177709,0.013452471,0.010778987,0.008491044,0.005181696,0.0288,0.0661,0.0296,0.0394,0.0149,0.0151,0.0128,0.0108,0.0081,0.0052,0.001381397,0.001086783,0.000927421,0.001451275,0.135405146,0.133928571,0.772987641,0.778385758,,0.4357,0.9730,0.7310,1.9329,1.9073,2.2500,2.6667,3.5556,5.5385,2.2951,2.2331,1.6777,4.4362,4.3775,5.1641,6.1204,8.1605,12.7115,1.0278,0.4478,0.7513,1.9866,1.9603,2.3125,2.7407,3.6543,5.6923,1.3681,0.5961,1.3311,2.6443,2.6093,3.0781,3.6481,4.8642,7.5769,0.5174,0.2254,0.5034,0.3782,0.9868,1.1641,1.3796,1.8395,2.8654,0.5243,0.2284,0.5101,0.3832,1.0134,1.1797,1.3981,1.8642,2.9038,0.4444,0.1936,0.4324,0.3249,0.8591,0.8477,1.1852,1.5802,2.4615,0.3750,0.1634,0.3649,0.2741,0.7248,0.7152,0.8438,1.3333,2.0769,0.2813,0.1225,0.2736,0.2056,0.5436,0.5364,0.6328,0.7500,1.5577,0.1806,0.0787,0.1757,0.1320,0.3490,0.3444,0.4063,0.4815,0.6420,-0.3930,-0.0137,-0.1554,0.3181,0.3121,0.3846,0.4545,0.5610,0.6941,0.3814,0.2531,0.6321,0.6281,0.6755,0.7191,0.7817,0.8541,-0.1420,0.3303,0.3244,0.3962,0.4653,0.5703,0.7011,0.4512,0.4459,0.5096,0.5697,0.6589,0.7668,-0.0067,0.0758,0.1595,0.2957,0.4826,0.0824,0.1660,0.3017,0.4877,0.0847,0.2249,0.4222,0.1429,0.3500,0.2180,,,B3/B8,-0.0029,0.0000,? Very weak
7,2024-06-28 0:00:00,2024-06-24 0:00:00,4,Sentinel-2A,Sentinel-2,21.972352,30,SCL_class6_OR_MNDWI_gt_0,27,12.34,0.03318866,0.063377614,0.033918933,0.04593993,0.016100168,0.01481186,0.011588575,0.011280814,0.011205951,0.009622751,0.0332,0.063,0.0337,0.0459,0.0161,0.0147,0.0113,0.0118,0.0112,0.0098,0.001689847,0.001379131,0.001345449,0.00103828,0.150673668,0.150310559,0.69980701,0.698113203,,0.5270,0.9852,0.7233,2.0621,2.2585,2.9381,2.8136,2.9643,3.3878,1.8976,1.8694,1.3725,3.9130,4.2857,5.5752,5.3390,5.6250,6.4286,1.0151,0.5349,0.7342,2.0932,2.2925,2.9823,2.8559,3.0089,3.4388,1.3825,0.7286,1.3620,2.8509,3.1224,4.0619,3.8898,4.0982,4.6837,0.4849,0.2556,0.4777,0.3508,1.0952,1.4248,1.3644,1.4375,1.6429,0.4428,0.2333,0.4362,0.3203,0.9130,1.3009,1.2458,1.3125,1.5000,0.3404,0.1794,0.3353,0.2462,0.7019,0.7687,0.9576,1.0089,1.1531,0.3554,0.1873,0.3501,0.2571,0.7329,0.8027,1.0442,1.0536,1.2041,0.3373,0.1778,0.3323,0.2440,0.6957,0.7619,0.9912,0.9492,1.1429,0.2952,0.1556,0.2908,0.2135,0.6087,0.6667,0.8673,0.8305,0.8750,-0.3098,-0.0075,-0.1606,0.3469,0.3862,0.4921,0.4756,0.4955,0.5442,0.3030,0.1570,0.5929,0.6216,0.6958,0.6845,0.6981,0.7308,-0.1533,0.3534,0.3926,0.4978,0.4813,0.5011,0.5494,0.4806,0.5149,0.6049,0.5910,0.6077,0.6481,0.0455,0.1752,0.1541,0.1795,0.2432,0.1308,0.1094,0.1351,0.2000,-0.0216,0.0044,0.0711,0.0261,0.0926,0.0667,,,B3/B8A,0.1229,0.0151,? Very weak
8,2024-06-28 0:00:00,2024-06-24 0:00:00,4,Sentinel-2A,Sentinel-2,21.972352,30,SCL_class6_OR_MNDWI_gt_0,28,19.36,0.009098975,0.012184906,0.006508144,0.007705743,0.000738781,0.001850505,0.000745483,0.000345156,0.005318338,0.00378287,0.0093,0.0123,0.0064,0.0077,0.0008,0.0019,0.0007,0.0001,0.0053,0.0038,0.000921034,0.000961716,0.000681759,0.000374877,0.084943168,0.092198582,0.391349305,0.411764711,,0.7561,1.4531,1.2078,11.6250,4.8947,13.2857,93.0000,1.7547,2.4474,1.3226,1.9219,1.5974,15.3750,6.4737,17.5714,123.0000,2.3208,3.2368,0.6882,0.5203,0.8312,8.0000,3.3684,9.1429,64.0000,1.2075,1.6842,0.8280,0.6260,1.2031,9.6250,4.0526,11.0000,77.0000,1.4528,2.0263,0.0860,0.0650,0.1250,0.1039,0.4211,1.1429,8.0000,0.1509,0.2105,0.2043,0.1545,0.2969,0.2468,2.3750,2.7143,19.0000,0.3585,0.5000,0.0753,0.0569,0.1094,0.0909,0.8750,0.3684,7.0000,0.1321,0.1842,0.0108,0.0081,0.0156,0.0130,0.1250,0.0526,0.1429,0.0189,0.0263,0.5699,0.4309,0.8281,0.6883,6.6250,2.7895,7.5714,53.0000,1.3947,0.4086,0.3089,0.5938,0.4935,4.7500,2.0000,5.4286,38.0000,0.7170,-0.1389,0.1847,0.0941,0.8416,0.6607,0.8600,0.9787,0.2740,0.4198,0.3155,0.2300,0.8779,0.7324,0.8923,0.9839,0.3977,0.5280,-0.0922,0.7778,0.5422,0.8028,0.9692,0.0940,0.2549,0.8118,0.6042,0.8333,0.9744,0.1846,0.3391,-0.4074,0.0667,0.7778,-0.7377,-0.6522,0.4615,0.9000,-0.4722,-0.3333,0.7500,-0.7667,-0.6889,-0.9630,-0.9487,0.1648,,,B3/B11,-0.1378,0.0190,? Very weak
9,2024-06-28 0:00:00,2024-06-24 0:00:00,4,Sentinel-2A,Sentinel-2,21.972352,30,SCL_class6_OR_MNDWI_gt_0,29,16.16,0.03208784,0.054828728,0.034083544,0.046438149,0.018826271,0.018589961,0.017023884,0.013967607,0.013408214,0.011476257,0.0318,0.0548,0.0339,0.0465,0.0188,0.0183,0.0171,0.0139,0.0129,0.0115,0.001812521,0.001584347,0.001600624,0.000971631,0.153665781,0.156054931,0.607864137,0.606707335,,0.5803,0.9381,0.6839,1.6915,1.7377,1.8596,2.2878,2.4651,2.7652,1.7233,1.6165,1.1785,2.9149,2.9945,3.2047,3.9424,4.2481,4.7652,1.0660,0.6186,0.7290,1.8032,1.8525,1.9825,2.4388,2.6279,2.9478,1.4623,0.8485,1.3717,2.4734,2.5410,2.7193,3.3453,3.6047,4.0435,0.5912,0.3431,0.5546,0.4043,1.0273,1.0994,1.3525,1.4574,1.6348,0.5755,0.3339,0.5398,0.3935,0.9734,1.0702,1.3165,1.4186,1.5913,0.5377,0.3120,0.5044,0.3677,0.9096,0.9344,1.2302,1.3256,1.4870,0.4371,0.2536,0.4100,0.2989,0.7394,0.7596,0.8129,1.0775,1.2087,0.4057,0.2354,0.3805,0.2774,0.6862,0.7049,0.7544,0.9281,1.1217,0.3616,0.2099,0.3392,0.2473,0.6117,0.6284,0.6725,0.8273,0.8915,-0.2656,-0.0320,-0.1877,0.2569,0.2695,0.3006,0.3917,0.4228,0.4688,0.2356,0.0819,0.4891,0.4993,0.5243,0.5953,0.6189,0.6531,-0.1567,0.2865,0.2989,0.3294,0.4184,0.4487,0.4934,0.4242,0.4352,0.4623,0.5397,0.5657,0.6034,0.0135,0.0474,0.1498,0.1861,0.2409,0.0339,0.1366,0.1731,0.2282,0.1032,0.1400,0.1958,0.0373,0.0945,0.0574,,,B3/B12,-0.1046,0.0109,? Very weak
10,2024-06-28 0:00:00,2024-06-24 0:00:00,4,Sentinel-2A,Sentinel-2,21.972352,30,SCL_class6_OR_MNDWI_gt_0,29,18.89,0.062602249,0.084836098,0.067159179,0.08108115,0.050528395,0.050144518,0.046658547,0.045942859,0.042353669,0.036823067,0.0639,0.0869,0.0688,0.0786,0.0474,0.0475,0.0476,0.0472,0.0413,0.035,0.012308769,0.012598355,0.012141427,0.011652203,0.095937962,0.093774626,0.338815206,0.332770258,,0.7353,0.9288,0.8130,1.3481,1.3453,1.3424,1.3538,1.5472,1.8257,1.3599,1.2631,1.1056,1.8333,1.8295,1.8256,1.8411,2.1041,2.4829,1.0767,0.7917,0.8753,1.4515,1.4484,1.4454,1.4576,1.6659,1.9657,1.2300,0.9045,1.1424,1.6582,1.6547,1.6513,1.6653,1.9031,2.2457,0.7418,0.5455,0.6890,0.6031,0.9979,0.9958,1.0042,1.1477,1.3543,0.7433,0.5466,0.6904,0.6043,1.0021,0.9979,1.0064,1.1501,1.3571,0.7449,0.5478,0.6919,0.6056,1.0042,1.0021,1.0085,1.1525,1.3600,0.7387,0.5432,0.6860,0.6005,0.9958,0.9937,0.9916,1.1429,1.3486,0.6463,0.4753,0.6003,0.5254,0.8713,0.8695,0.8676,0.8750,1.1800,0.5477,0.4028,0.5087,0.4453,0.7384,0.7368,0.7353,0.7415,0.8475,-0.1525,-0.0369,-0.1032,0.1482,0.1472,0.1462,0.1503,0.2148,0.2922,0.1162,0.0502,0.2941,0.2932,0.2922,0.2960,0.3557,0.4258,-0.0665,0.1842,0.1831,0.1821,0.1862,0.2498,0.3256,0.2476,0.2466,0.2456,0.2496,0.3111,0.3838,-0.0011,-0.0021,0.0021,0.0688,0.1505,-0.0011,0.0032,0.0698,0.1515,0.0042,0.0709,0.1525,0.0667,0.1484,0.0826,,,B4/B2,0.2911,0.0847,? Very weak
11,2024-06-28 0:00:00,2024-06-24 0:00:00,4,Sentinel-2A,Sentinel-2,21.972352,30,SCL_class6_OR_MNDWI_gt_0,31,21.9,0.057588906,0.076580649,0.059503693,0.076557632,0.043655975,0.044193442,0.043784918,0.036600562,0.034042508,0.029268881,0.058,0.0772,0.06,0.0765,0.0442,0.0447,0.0449,0.0365,0.0345,0.0293,0.003679742,0.003091057,0.002895265,0.003062298,0.125485671,0.122884474,0.385679378,0.383378029,,0.7513,0.9667,0.7582,1.3122,1.2975,1.2918,1.5890,1.6812,1.9795,1.3310,1.2867,1.0092,1.7466,1.7271,1.7194,2.1151,2.2377,2.6348,1.0345,0.7772,0.7843,1.3575,1.3423,1.3363,1.6438,1.7391,2.0478,1.3190,0.9909,1.2750,1.7308,1.7114,1.7038,2.0959,2.2174,2.6109,0.7621,0.5725,0.7367,0.5778,0.9888,0.9844,1.2110,1.2812,1.5085,0.7707,0.5790,0.7450,0.5843,1.0113,0.9955,1.2247,1.2957,1.5256,0.7741,0.5816,0.7483,0.5869,1.0158,1.0045,1.2301,1.3014,1.5324,0.6293,0.4728,0.6083,0.4771,0.8258,0.8166,0.8129,1.0580,1.2457,0.5948,0.4469,0.5750,0.4510,0.7805,0.7718,0.7684,0.9452,1.1775,0.5052,0.3795,0.4883,0.3830,0.6629,0.6555,0.6526,0.8027,0.8493,-0.1420,-0.0169,-0.1375,0.1350,0.1295,0.1273,0.2275,0.2541,0.3288,0.1254,0.0046,0.2718,0.2666,0.2645,0.3580,0.3823,0.4498,-0.1209,0.1516,0.1461,0.1439,0.2435,0.2698,0.3438,0.2676,0.2624,0.2603,0.3540,0.3784,0.4461,-0.0056,-0.0079,0.0954,0.1233,0.2027,-0.0022,0.1010,0.1288,0.2081,0.1032,0.1310,0.2102,0.0282,0.1094,0.0815,,,B4/B3,0.1817,0.0330,? Very weak
1,2024-07-18 0:00:00,2024-07-19 0:00:00,-1,Sentinel-2B,Sentinel-2,3.958743,30,SCL_class6_OR_MNDWI_gt_0,26,11.59,0.02733215,0.04017286,0.021843348,0.025906582,0.015240893,0.017022271,0.014925344,0.013284072,0.0055603,0.003816601,0.0273,0.0403,0.0219,0.0257,0.015,0.0172,0.015,0.0132,0.0052,0.0038,0.000803248,0.000644698,0.000666762,0.000679377,0.085206488,0.084388186,0.757668918,0.769230783,,0.6774,1.2466,1.0623,1.8200,1.5872,1.8200,2.0682,5.2500,7.1842,1.4762,1.8402,1.5681,2.6867,2.3430,2.6867,3.0530,7.7500,10.6053,0.8022,0.5434,0.8521,1.4600,1.2733,1.4600,1.6591,4.2115,5.7632,0.9414,0.6377,1.1735,1.7133,1.4942,1.7133,1.9470,4.9423,6.7632,0.5495,0.3722,0.6849,0.5837,0.8721,1.0000,1.1364,2.8846,3.9474,0.6300,0.4268,0.7854,0.6693,1.1467,1.1467,1.3030,3.3077,4.5263,0.5495,0.3722,0.6849,0.5837,1.0000,0.8721,1.1364,2.8846,3.9474,0.4835,0.3275,0.6027,0.5136,0.8800,0.7674,0.8800,2.5385,3.4737,0.1905,0.1290,0.2374,0.2023,0.3467,0.3023,0.3467,0.3939,1.3684,0.1392,0.0943,0.1735,0.1479,0.2533,0.2209,0.2533,0.2879,0.7308,-0.1923,0.1098,0.0302,0.2908,0.2270,0.2908,0.3481,0.6800,0.7556,0.2958,0.2212,0.4575,0.4017,0.4575,0.5065,0.7714,0.8277,-0.0798,0.1870,0.1202,0.1870,0.2479,0.6162,0.7043,0.2629,0.1981,0.2629,0.3213,0.6634,0.7424,-0.0683,0.0000,0.0638,0.4851,0.5957,0.0683,0.1316,0.5357,0.6381,0.0638,0.4851,0.5957,0.4348,0.5529,0.1556,,,B4/B5,-0.7467,0.5576,? Strong
2,2024-07-18 0:00:00,2024-07-19 0:00:00,-1,Sentinel-2B,Sentinel-2,3.958743,30,SCL_class6_OR_MNDWI_gt_0,29,9.78,0.026523368,0.038721754,0.021040225,0.025032828,0.013577432,0.014835326,0.011771495,0.009470877,0.00351454,0.001763144,0.0265,0.0388,0.021,0.0252,0.0137,0.0146,0.0117,0.0096,0.0035,0.0019,0.000662536,0.000888211,0.000579823,0.000437157,0.086696257,0.084233261,0.833784487,0.834123194,,0.6830,1.2619,1.0516,1.9343,1.8151,2.2650,2.7604,7.5714,13.9474,1.4642,1.8476,1.5397,2.8321,2.6575,3.3162,4.0417,11.0857,20.4211,0.7925,0.5412,0.8333,1.5328,1.4384,1.7949,2.1875,6.0000,11.0526,0.9509,0.6495,1.2000,1.8394,1.7260,2.1538,2.6250,7.2000,13.2632,0.5170,0.3531,0.6524,0.5437,0.9384,1.1709,1.4271,3.9143,7.2105,0.5509,0.3763,0.6952,0.5794,1.0657,1.2479,1.5208,4.1714,7.6842,0.4415,0.3015,0.5571,0.4643,0.8540,0.8014,1.2188,3.3429,6.1579,0.3623,0.2474,0.4571,0.3810,0.7007,0.6575,0.8205,2.7429,5.0526,0.1321,0.0902,0.1667,0.1389,0.2555,0.2397,0.2991,0.3646,1.8421,0.0717,0.0490,0.0905,0.0754,0.1387,0.1301,0.1624,0.1979,0.5429,-0.1884,0.1158,0.0251,0.3184,0.2895,0.3874,0.4681,0.7667,0.8662,0.2977,0.2125,0.4781,0.4532,0.5366,0.6033,0.8345,0.9066,-0.0909,0.2104,0.1798,0.2844,0.3725,0.7143,0.8341,0.2956,0.2663,0.3659,0.4483,0.7561,0.8598,-0.0318,0.0787,0.1760,0.5930,0.7564,0.1103,0.2066,0.6133,0.7697,0.0986,0.5395,0.7206,0.4656,0.6696,0.2963,,,B4/B6,-0.0229,0.0005,? Very weak
3,2024-07-18 0:00:00,2024-07-19 0:00:00,-1,Sentinel-2B,Sentinel-2,3.958743,30,SCL_class6_OR_MNDWI_gt_0,29,10.12,0.027352716,0.040539818,0.021720758,0.026346611,0.015376351,0.016764744,0.013896281,0.011913937,0.0036952,0.002450681,0.0275,0.0404,0.0218,0.0263,0.0155,0.0168,0.0138,0.012,0.0037,0.0025,0.000859942,0.000510135,0.000489266,0.000318102,0.096349499,0.093555094,0.832906295,0.832199574,,0.6807,1.2615,1.0456,1.7742,1.6369,1.9928,2.2917,7.4324,11.0000,1.4691,1.8532,1.5361,2.6065,2.4048,2.9275,3.3667,10.9189,16.1600,0.7927,0.5396,0.8289,1.4065,1.2976,1.5797,1.8167,5.8919,8.7200,0.9564,0.6510,1.2064,1.6968,1.5655,1.9058,2.1917,7.1081,10.5200,0.5636,0.3837,0.7110,0.5894,0.9226,1.1232,1.2917,4.1892,6.2000,0.6109,0.4158,0.7706,0.6388,1.0839,1.2174,1.4000,4.5405,6.7200,0.5018,0.3416,0.6330,0.5247,0.8903,0.8214,1.1500,3.7297,5.5200,0.4364,0.2970,0.5505,0.4563,0.7742,0.7143,0.8696,3.2432,4.8000,0.1345,0.0916,0.1697,0.1407,0.2387,0.2202,0.2681,0.3083,1.4800,0.0909,0.0619,0.1147,0.0951,0.1613,0.1488,0.1812,0.2083,0.6757,-0.1900,0.1156,0.0223,0.2791,0.2415,0.3317,0.3924,0.7628,0.8333,0.2990,0.2114,0.4454,0.4126,0.4908,0.5420,0.8322,0.8834,-0.0936,0.1689,0.1295,0.2247,0.2899,0.7098,0.7942,0.2584,0.2204,0.3117,0.3734,0.7533,0.8264,-0.0402,0.0580,0.1273,0.6146,0.7222,0.0980,0.1667,0.6390,0.7409,0.0698,0.5771,0.6933,0.5287,0.6552,0.1935,,,B4/B7,-0.1762,0.0311,? Very weak
4,2024-07-18 0:00:00,2024-07-19 0:00:00,-1,Sentinel-2B,Sentinel-2,3.958743,30,SCL_class6_OR_MNDWI_gt_0,26,12.76,0.026402277,0.039520579,0.02055589,0.025729927,0.014612173,0.015331951,0.013237785,0.010837841,0.003168681,0.002019975,0.0264,0.0396,0.0204,0.0257,0.0145,0.0153,0.0132,0.0108,0.0032,0.002,0.000884816,0.000701109,0.000623231,0.000481123,0.111978599,0.111587983,0.851590094,0.848699749,,0.6667,1.2941,1.0272,1.8207,1.7255,2.0000,2.4444,8.2500,13.2000,1.5000,1.9412,1.5409,2.7310,2.5882,3.0000,3.6667,12.3750,19.8000,0.7727,0.5152,0.7938,1.4069,1.3333,1.5455,1.8889,6.3750,10.2000,0.9735,0.6490,1.2598,1.7724,1.6797,1.9470,2.3796,8.0313,12.8500,0.5492,0.3662,0.7108,0.5642,0.9477,1.0985,1.3426,4.5313,7.2500,0.5795,0.3864,0.7500,0.5953,1.0552,1.1591,1.4167,4.7813,7.6500,0.5000,0.3333,0.6471,0.5136,0.9103,0.8627,1.2222,4.1250,6.6000,0.4091,0.2727,0.5294,0.4202,0.7448,0.7059,0.8182,3.3750,5.4000,0.1212,0.0808,0.1569,0.1245,0.2207,0.2092,0.2424,0.2963,1.6000,0.0758,0.0505,0.0980,0.0778,0.1379,0.1307,0.1515,0.1852,0.6250,-0.2000,0.1282,0.0134,0.2910,0.2662,0.3333,0.4194,0.7838,0.8592,0.3200,0.2129,0.4640,0.4426,0.5000,0.5714,0.8505,0.9038,-0.1150,0.1691,0.1429,0.2143,0.3077,0.7288,0.8214,0.2786,0.2537,0.3213,0.4082,0.7785,0.8556,-0.0268,0.0469,0.1462,0.6384,0.7576,0.0737,0.1724,0.6541,0.7688,0.1000,0.6098,0.7368,0.5429,0.6875,0.2308,,,B4/B8,0.0331,0.0011,? Very weak
